vacancy_link,vacancy_title,vacancy_salary,experience,company,location,unique
"https://spb.hh.ru/vacancy/92031077","IOS developer","до 150 000 ₽ на руки","Опыт 1-3 года","ООО Волкрафт","Пенза","1"
"https://spb.hh.ru/vacancy/102183127","IOS Developer","от 200 000 ₽ на руки","Опыт 3-6 лет","mobile builder","Москва","1"
"https://spb.hh.ru/vacancy/102101546","IOS developer Middle","до 150 000 ₽ на руки","Опыт 1-3 года","Spider Group","Краснодар","1"
"https://spb.hh.ru/vacancy/101784536","IOS разработчик (международный проект)","от 200 000 ₽ до вычета налогов","Опыт 3-6 лет","Reactive Phone","Санкт-Петербург","1"
"https://spb.hh.ru/vacancy/101932670","Ios developer","140 000 – 195 000 ₽ до вычета налогов","Опыт 1-3 года","Сбер для экспертов","Санкт-Петербург","1"
"https://spb.hh.ru/vacancy/101609528","IOS Developer","от 150 000 ₽ на руки","Опыт 1-3 года","President Service Consult","Москва","1"
"https://spb.hh.ru/vacancy/101104320","IOS разработчик","до 420 000 ₽ на руки","Опыт 3-6 лет","SENSE group","Москва","1"
"https://spb.hh.ru/vacancy/101490727","Разработчик IOS приложений","до 190 000 ₽ на руки","Опыт 1-3 года","ООО Премьер Консалт","Санкт-Петербург","1"
"https://spb.hh.ru/vacancy/90767930","IOS разработчик (Middle)","от 180 000 ₽ на руки","Опыт 1-3 года","Компания Группа компаний Реми","Владивосток","1"
"https://spb.hh.ru/vacancy/98633920","IOS-разработчик международного сервиса (Middle)","от 230 000 ₽ до вычета налогов","Опыт 3-6 лет","DIKIDI","Ярославль","1"
"https://spb.hh.ru/vacancy/101260600,"IOS разработчик","80 000 – 150 000 ₽ до вычета налогов","Опыт 3-6 лет","ООО Фулла Технологии","Красноярск","2"
"https://spb.hh.ru/vacancy/101260601","IOS разработчик","80 000 – 150 000 ₽ до вычета налогов","Опыт 3-6 лет","ООО Фулла Технологии","Новосибирск","1"
"https://spb.hh.ru/vacancy/80868892","IOS разработчик (Swift)","80 000 – 170 000 ₽ на руки","Опыт 1-3 года","InlyIT","Барнаул","2"
"https://spb.hh.ru/vacancy/101165450","IOS-разработчик международного сервиса (Senior)","от 287 500 ₽ до вычета налогов","Опыт более 6 лет","DIKIDI","Ярославль","1"
"https://spb.hh.ru/vacancy/101445884","Разработчик IOs/Android мобильных приложений (Flutter, Опционально Swift/Java)","от 1 000 $ на руки","Опыт 1-3 года","ИП Шеломенцев Алексей Александрович","Киров","7"
"https://spb.hh.ru/vacancy/101445885","Разработчик IOs/Android мобильных приложений (Flutter, Опционально Swift/Java)","от 1 000 $ на руки","Опыт 1-3 года","ИП Шеломенцев Алексей Александрович","Пермь","6"
"https://spb.hh.ru/vacancy/101445887","Разработчик IOs/Android мобильных приложений (Flutter, Опционально Swift/Java)","от 1 000 $ на руки","Опыт 1-3 года","ИП Шеломенцев Алексей Александрович","Уфа","5"
"https://spb.hh.ru/vacancy/97037423","Middle IOS-разработчик","до 320 000 ₽ на руки","Опыт 3-6 лет","ООО ВижнЛабс (VisionLabs)","Москва","1"
"https://spb.hh.ru/vacancy/101370748","Middle/senior IOS разработчик","80 000 – 250 000 ₽ до вычета налогов","Опыт 3-6 лет","ООО ЭКОПАРК ЛОГИСТИК","Москва","1"
"https://spb.hh.ru/vacancy/100709279","Разработчик iOS (middle) Работа в офисе","от 170 000 ₽ на руки","Опыт 1-3 года","Сеть аптек Апрель","Краснодар","1"
"https://spb.hh.ru/vacancy/102681915","IOS разработчик","от 120 000 ₽ на руки","Опыт 1-3 года","Mintrocket","Нижний Новгород","1"
"https://spb.hh.ru/vacancy/80868894","IOS разработчик (Swift)","80 000 – 170 000 ₽ на руки,"Опыт 1-3 года","InlyIT","Кемерово","1"
"https://spb.hh.ru/vacancy/101445886","Разработчик IOs/Android мобильных приложений (Flutter, Опционально Swift/Java)","от 1 000 $ на руки","Опыт 1-3 года","ИП Шеломенцев Алексей Александрович","Томск","4"
"https://spb.hh.ru/vacancy/101445888","Разработчик IOs/Android мобильных приложений (Flutter, Опционально Swift/Java)","от 1 000 $ на руки","Опыт 1-3 года","ИП Шеломенцев Алексей Александрович","Чебоксары","3"
"https://spb.hh.ru/vacancy/101445882","Разработчик IOs/Android мобильных приложений (Flutter, Опционально Swift/Java)","от 1 000 $ на руки","Опыт 1-3 года","ИП Шеломенцев Алексей Александрович","Новосибирск","2"
"https://spb.hh.ru/vacancy/101445883","Разработчик IOs/Android мобильных приложений (Flutter, Опционально Swift/Java)","от 1 000 $ на руки","Опыт 1-3 года","ИП Шеломенцев Алексей Александрович","Иркутск","1"
